epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3789.07,0.8998,1.18551,0.98242,0.79186,0.85215,0.85261,0.68959,0.9199,0.62331,0.97479,0.00050863,0.00050863,0.00050863
61,3852.14,0.92094,1.64309,0.98215,0.96138,0.81565,0.85339,0.68841,0.93606,0.65947,0.9578,0.000503132,0.000503132,0.000503132
62,3915.15,0.87866,2.0922,0.97173,0.93475,0.85556,0.85875,0.70767,0.89274,0.60923,0.94737,0.000497634,0.000497634,0.000497634
63,3978.2,0.90378,1.46803,0.98543,0.95526,0.84577,0.86039,0.70947,0.87337,0.61457,0.94999,0.000492136,0.000492136,0.000492136
64,4041.35,0.8238,1.56077,0.94787,0.95494,0.84766,0.8613,0.6991,0.88057,0.59733,0.94847,0.000486639,0.000486639,0.000486639
65,4104.38,0.8655,1.27553,0.96687,0.94813,0.84945,0.86001,0.69574,0.87165,0.59856,0.95088,0.000481141,0.000481141,0.000481141
66,4167.36,0.88356,1.43771,0.98586,0.95692,0.84984,0.86008,0.69047,0.90655,0.60441,0.95079,0.000475643,0.000475643,0.000475643
67,4230.4,0.91803,1.38649,1.00127,0.95538,0.84617,0.85928,0.6945,0.88508,0.59403,0.94867,0.000470145,0.000470145,0.000470145
68,4293.42,0.89319,1.30879,0.9893,0.95328,0.84258,0.85994,0.69832,0.89234,0.58564,0.96313,0.000464647,0.000464647,0.000464647
69,4356.42,0.87929,1.06333,0.98383,0.94911,0.8487,0.86196,0.70096,0.89843,0.57796,0.96991,0.00045915,0.00045915,0.00045915
70,4419.48,0.88023,1.03676,0.99454,0.97225,0.84023,0.86102,0.68436,0.94058,0.58243,0.98933,0.000453652,0.000453652,0.000453652
71,4482.51,0.8642,1.52515,0.96421,0.96937,0.83521,0.86016,0.68434,0.91683,0.57675,0.9948,0.000448154,0.000448154,0.000448154
72,4545.58,0.88513,1.00598,0.99126,0.94875,0.83259,0.86365,0.69468,0.91158,0.59249,0.97031,0.000442656,0.000442656,0.000442656
73,4608.53,0.85051,1.49426,0.96668,0.96298,0.83359,0.86301,0.70224,0.88855,0.57363,0.96302,0.000437158,0.000437158,0.000437158
74,4671.49,0.80749,1.46537,0.94972,0.93723,0.84578,0.85961,0.69865,0.89339,0.5961,0.97186,0.000431661,0.000431661,0.000431661
75,4734.67,0.87755,1.57076,0.95586,0.93808,0.8341,0.86077,0.67826,0.93099,0.65017,0.99969,0.000426163,0.000426163,0.000426163
76,4797.69,0.82922,1.80845,0.93144,0.94222,0.84885,0.8602,0.6903,0.9112,0.61365,0.99196,0.000420665,0.000420665,0.000420665
77,4860.74,0.84262,1.20713,0.97168,0.96639,0.85021,0.86082,0.70967,0.88039,0.57316,0.97231,0.000415167,0.000415167,0.000415167
78,4923.94,0.85803,1.42617,0.95657,0.98123,0.84884,0.86306,0.71256,0.85335,0.54149,0.94859,0.000409669,0.000409669,0.000409669
79,4987.18,0.86113,1.27872,0.98011,0.96873,0.85244,0.86589,0.71603,0.85501,0.56653,0.95471,0.000404172,0.000404172,0.000404172
80,5050.22,0.82946,1.6945,0.94443,0.95607,0.84573,0.86622,0.71723,0.84138,0.5834,0.95323,0.000398674,0.000398674,0.000398674
81,5113.35,0.8178,0.91126,0.97818,0.94589,0.84131,0.8653,0.70528,0.88932,0.63268,0.9737,0.000393176,0.000393176,0.000393176
82,5176.35,0.87049,1.29982,0.98139,0.97009,0.8482,0.86623,0.70785,0.8818,0.57014,0.98599,0.000387678,0.000387678,0.000387678
83,5239.52,0.83856,1.63953,0.94198,0.9696,0.84819,0.86606,0.70769,0.88734,0.56786,0.99571,0.00038218,0.00038218,0.00038218
84,5302.42,0.81476,1.34968,0.96176,0.84107,0.84762,0.86298,0.71697,0.87627,0.56669,0.97127,0.000376683,0.000376683,0.000376683
85,5365.46,0.81879,1.07749,0.94164,0.95275,0.85023,0.86181,0.71398,0.86023,0.56595,0.95152,0.000371185,0.000371185,0.000371185
86,5428.48,0.80285,1.33944,0.94126,0.94896,0.8532,0.86131,0.72365,0.85098,0.55376,0.93754,0.000365687,0.000365687,0.000365687
87,5491.52,0.82879,0.85299,0.95191,0.97545,0.85043,0.86287,0.73047,0.84848,0.53437,0.93278,0.000360189,0.000360189,0.000360189
88,5554.49,0.81154,1.69002,0.96184,0.97423,0.84478,0.86347,0.72129,0.86243,0.53743,0.93877,0.000354691,0.000354691,0.000354691
89,5617.56,0.85073,0.92678,0.98885,0.97396,0.84116,0.86335,0.72272,0.86675,0.57341,0.93148,0.000349194,0.000349194,0.000349194
